,size,isdir,mode,mtime,ctime,atime,exe,file_full,filename,method
line946,66612382,FALSE,666,3/9/2019 19:18,3/18/2019 14:20,3/18/2019 14:20,no,blanks_DIA/20190305_302.raw,20190305_302,20190204_PAL_blank_DIA.meth
line947,66429709,FALSE,666,3/10/2019 1:41,3/18/2019 14:20,3/18/2019 14:20,no,blanks_DIA/20190305_321.raw,20190305_321,20190204_PAL_blank_DIA.meth
line948,65922421,FALSE,666,3/10/2019 8:23,3/18/2019 14:20,3/18/2019 14:20,no,blanks_DIA/20190305_341.raw,20190305_341,20190204_PAL_blank_DIA.meth
line949,63798953,FALSE,666,3/11/2019 4:51,3/18/2019 14:20,3/18/2019 14:20,no,blanks_DIA/20190305_402.raw,20190305_402,20190204_PAL_blank_DIA.meth
line950,63061088,FALSE,666,3/11/2019 11:14,3/18/2019 14:20,3/18/2019 14:20,no,blanks_DIA/20190305_421.raw,20190305_421,20190204_PAL_blank_DIA.meth
line951,80261292,FALSE,666,2/3/2019 19:34,4/26/2019 15:13,4/26/2019 15:13,no,WWTP_raw_noIS/20190131_220.raw,20190131_220,20190131_PAL_filtrate_DIA_noIS.meth
line952,83871883,FALSE,666,2/3/2019 20:15,4/26/2019 15:13,4/26/2019 15:13,no,WWTP_raw_noIS/20190131_222.raw,20190131_222,20190131_PAL_filtrate_DIA_noIS.meth
line953,85253506,FALSE,666,2/3/2019 20:55,4/26/2019 15:13,4/26/2019 15:13,no,WWTP_raw_noIS/20190131_224.raw,20190131_224,20190131_PAL_filtrate_DIA_noIS.meth
line954,83930443,FALSE,666,2/3/2019 21:35,4/26/2019 15:13,4/26/2019 15:13,no,WWTP_raw_noIS/20190131_226.raw,20190131_226,20190131_PAL_filtrate_DIA_noIS.meth
line955,55436003,FALSE,666,2/3/2019 22:15,4/26/2019 15:13,4/26/2019 15:13,no,WWTP_raw_noIS/20190131_228.raw,20190131_228,20190131_PAL_blank_DDA.meth
line956,85551056,FALSE,666,2/3/2019 22:56,4/26/2019 15:13,4/26/2019 15:13,no,WWTP_raw_noIS/20190131_230.raw,20190131_230,20190131_PAL_filtrate_DIA_noIS.meth
line957,87395167,FALSE,666,2/3/2019 23:36,4/26/2019 15:13,4/26/2019 15:13,no,WWTP_raw_noIS/20190131_232.raw,20190131_232,20190131_PAL_filtrate_DIA_noIS.meth
line958,86475383,FALSE,666,2/4/2019 0:16,4/26/2019 15:13,4/26/2019 15:13,no,WWTP_raw_noIS/20190131_234.raw,20190131_234,20190131_PAL_filtrate_DIA_noIS.meth
line959,85749393,FALSE,666,2/4/2019 0:56,4/26/2019 15:13,4/26/2019 15:13,no,WWTP_raw_noIS/20190131_236.raw,20190131_236,20190131_PAL_filtrate_DIA_noIS.meth
line960,85878437,FALSE,666,2/4/2019 1:37,4/26/2019 15:13,4/26/2019 15:13,no,WWTP_raw_noIS/20190131_238.raw,20190131_238,20190131_PAL_filtrate_DIA_noIS.meth
line961,87089177,FALSE,666,2/4/2019 2:17,4/26/2019 15:13,4/26/2019 15:13,no,WWTP_raw_noIS/20190131_240.raw,20190131_240,20190131_PAL_filtrate_DIA_noIS.meth
